ekran	durum	tur	oran	zemin	on	yol	metin
ana-kucult	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabControl#Tabs	TabIcon
ana-kucult	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabRecorder	TabIcon
ana-kucult	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabRecorder	Recorder
ana-kucult	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabAdvanced	TabIcon
ana-kucult	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabAdvanced	Advanced
ana-kucult	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabSettings	TabIcon
ana-kucult	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabSettings	Settings
ana-kucult	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtUpdateBadge @Button#BtnUpdateBadge	Örnek 0.9
ana-kucult	edilgen	yazi	4.20	#020706	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock	Türkçe
ana-kucult	edilgen	simge	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-kucult	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-kucult	edilgen	simge	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnGitHub	Path
ana-kucult	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtGitHub @Button#BtnGitHub	Teknesyum
ana-donustur	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabPlayer	TabIcon
ana-donustur	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabPlayer	Player
ana-donustur	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabShrink	TabIcon
ana-donustur	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabShrink	Shrink
ana-donustur	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabControl#Tabs	TabIcon
ana-donustur	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabRecorder	TabIcon
ana-donustur	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabRecorder	Recorder
ana-donustur	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabAdvanced	TabIcon
ana-donustur	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabAdvanced	Advanced
ana-donustur	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabSettings	TabIcon
ana-donustur	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabSettings	Settings
ana-donustur	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtUpdateBadge @Button#BtnUpdateBadge	Örnek 0.9
ana-donustur	edilgen	yazi	4.20	#020706	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock	Türkçe
ana-donustur	edilgen	simge	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-donustur	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-donustur	edilgen	simge	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnGitHub	Path
ana-donustur	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtGitHub @Button#BtnGitHub	Teknesyum
ana-kaydedici	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabPlayer	TabIcon
ana-kaydedici	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabPlayer	Player
ana-kaydedici	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabShrink	TabIcon
ana-kaydedici	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabShrink	Shrink
ana-kaydedici	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabControl#Tabs	TabIcon
ana-kaydedici	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabRecorder	TabIcon
ana-kaydedici	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabRecorder	Recorder
ana-kaydedici	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabAdvanced	TabIcon
ana-kaydedici	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabAdvanced	Advanced
ana-kaydedici	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabSettings	TabIcon
ana-kaydedici	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabSettings	Settings
ana-kaydedici	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtUpdateBadge @Button#BtnUpdateBadge	Örnek 0.9
ana-kaydedici	edilgen	yazi	4.20	#020706	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock	Türkçe
ana-kaydedici	edilgen	simge	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-kaydedici	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-kaydedici	edilgen	simge	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnGitHub	Path
ana-kaydedici	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtGitHub @Button#BtnGitHub	Teknesyum
ana-gelismis	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabPlayer	TabIcon
ana-gelismis	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabPlayer	Player
ana-gelismis	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabShrink	TabIcon
ana-gelismis	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabShrink	Shrink
ana-gelismis	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabControl#Tabs	TabIcon
ana-gelismis	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabRecorder	TabIcon
ana-gelismis	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabRecorder	Recorder
ana-gelismis	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabAdvanced	TabIcon
ana-gelismis	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabAdvanced	Advanced
ana-gelismis	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabSettings	TabIcon
ana-gelismis	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabSettings	Settings
ana-gelismis	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtUpdateBadge @Button#BtnUpdateBadge	Örnek 0.9
ana-gelismis	edilgen	yazi	4.20	#020706	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock	Türkçe
ana-gelismis	edilgen	simge	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-gelismis	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-gelismis	edilgen	simge	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnGitHub	Path
ana-gelismis	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtGitHub @Button#BtnGitHub	Teknesyum
ana-ayarlar	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabPlayer	TabIcon
ana-ayarlar	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabPlayer	Player
ana-ayarlar	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabShrink	TabIcon
ana-ayarlar	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabShrink	Shrink
ana-ayarlar	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabControl#Tabs	TabIcon
ana-ayarlar	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabRecorder	TabIcon
ana-ayarlar	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabRecorder	Recorder
ana-ayarlar	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabAdvanced	TabIcon
ana-ayarlar	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabAdvanced	Advanced
ana-ayarlar	edilgen	simge	4.20	#020706	#71717A	Border#TabOutline > Panel > StackPanel > Path#TabIcon @TabItem#TabSettings	TabIcon
ana-ayarlar	edilgen	yazi	4.20	#020706	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabItem#TabSettings	Settings
ana-ayarlar	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtUpdateBadge @Button#BtnUpdateBadge	Örnek 0.9
ana-ayarlar	edilgen	yazi	4.20	#020706	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock	Türkçe
ana-ayarlar	edilgen	simge	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-ayarlar	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-ayarlar	edilgen	simge	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnGitHub	Path
ana-ayarlar	edilgen	yazi	4.20	#020706	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtGitHub @Button#BtnGitHub	Teknesyum
ana-oynatici	edilgen	simge	4.21	#050507	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path#GlyphSeritVolume @Button#BtnSeritMute	GlyphSeritVolume
ana-oynatici	edilgen	simge	4.21	#050507	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSeritBack	Path
ana-oynatici	edilgen	yazi	4.21	#050507	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSeritBack @Button#BtnSeritBack	−10
ana-oynatici	edilgen	simge	4.21	#050507	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path#GlyphSeritPlay @Button#BtnSeritPlay	GlyphSeritPlay
ana-oynatici	edilgen	yazi	4.21	#050507	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSeritForward @Button#BtnSeritForward	+10
ana-oynatici	edilgen	simge	4.21	#050507	#71717A	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSeritForward	Path
ana-oynatici	edilgen	simge	4.21	#050507	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path @Button#BtnSeritSpeedReset	Path
ana-oynatici	edilgen	simge	4.21	#050507	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path @Button#BtnSeritFullScreen	Path
ana-oynatici	dinlenik	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-oynatici	dinlenik	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-oynatici	pointerover	yazi	4.41	#020706	#B026FF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock	Türkçe
ana-oynatici	pointerover	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-oynatici	pointerover	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-oynatici	pressed	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-oynatici	pressed	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-oynatici	focus-visible	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-oynatici	focus-visible	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-kucult	dinlenik	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-kucult	dinlenik	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-kucult	pointerover	yazi	4.41	#020706	#B026FF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock	Türkçe
ana-kucult	pointerover	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-kucult	pointerover	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-kucult	pressed	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-kucult	pressed	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-kucult	focus-visible	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-kucult	focus-visible	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-donustur	dinlenik	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-donustur	dinlenik	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-donustur	pointerover	yazi	4.41	#020706	#B026FF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock	Türkçe
ana-donustur	pointerover	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-donustur	pointerover	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-donustur	pressed	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-donustur	pressed	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-donustur	focus-visible	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-donustur	focus-visible	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-kaydedici	dinlenik	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-kaydedici	dinlenik	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-kaydedici	pointerover	yazi	4.41	#020706	#B026FF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock	Türkçe
ana-kaydedici	pointerover	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-kaydedici	pointerover	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-kaydedici	pressed	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-kaydedici	pressed	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-kaydedici	focus-visible	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-kaydedici	focus-visible	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-gelismis	dinlenik	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-gelismis	dinlenik	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-gelismis	pointerover	yazi	4.41	#020706	#B026FF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock	Türkçe
ana-gelismis	pointerover	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-gelismis	pointerover	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-gelismis	pressed	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-gelismis	pressed	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-gelismis	focus-visible	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-gelismis	focus-visible	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-ayarlar	dinlenik	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-ayarlar	dinlenik	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-ayarlar	pointerover	yazi	4.41	#020706	#B026FF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock	Türkçe
ana-ayarlar	pointerover	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-ayarlar	pointerover	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-ayarlar	pressed	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-ayarlar	pressed	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-ayarlar	focus-visible	simge	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSponsor	Path
ana-ayarlar	focus-visible	yazi	4.41	#020706	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSponsor @Button#BtnSponsor	Buy Me a Coffee
ana-oynatici	pointerover	simge	4.43	#050507	#B026FF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path#GlyphSeritVolume @Button#BtnSeritMute	GlyphSeritVolume
ana-oynatici	pointerover	simge	4.43	#050507	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSeritBack	Path
ana-oynatici	pointerover	yazi	4.43	#050507	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSeritBack @Button#BtnSeritBack	−10
ana-oynatici	pointerover	simge	4.43	#050507	#B026FF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path#GlyphSeritPlay @Button#BtnSeritPlay	GlyphSeritPlay
ana-oynatici	pointerover	yazi	4.43	#050507	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > TextBlock#TxtSeritForward @Button#BtnSeritForward	+10
ana-oynatici	pointerover	simge	4.43	#050507	#B026FF	Panel > ContentPresenter#PART_ContentPresenter > StackPanel > Path @Button#BtnSeritForward	Path
ana-oynatici	pointerover	simge	4.43	#050507	#B026FF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path @Button#BtnSeritSpeedReset	Path
ana-oynatici	pointerover	simge	4.43	#050507	#B026FF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path @Button#BtnSeritFullScreen	Path
ana-oynatici	dinlenik	yazi	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-oynatici	focus-visible	yazi	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-oynatici	pointerover	simge	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path @Button#BtnMinimize	Path
ana-oynatici	pointerover	simge	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path#MaximizeGlyph @Button#BtnMaximize	MaximizeGlyph
ana-kucult	dinlenik	yazi	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnRetryAgain	Try Again
ana-kucult	dinlenik	yazi	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnTrimConfirm	Trim and Save
ana-kucult	dinlenik	yazi	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-kucult	focus-visible	yazi	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnRetryAgain	Try Again
ana-kucult	focus-visible	yazi	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnTrimConfirm	Trim and Save
ana-kucult	focus-visible	yazi	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-kucult	pointerover	simge	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path @Button#BtnMinimize	Path
ana-kucult	pointerover	simge	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path#MaximizeGlyph @Button#BtnMaximize	MaximizeGlyph
ana-donustur	dinlenik	yazi	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-donustur	focus-visible	yazi	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnNoticeInstall	Download
ana-donustur	pointerover	simge	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path @Button#BtnMinimize	Path
ana-donustur	pointerover	simge	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path#MaximizeGlyph @Button#BtnMaximize	MaximizeGlyph
ana-kaydedici	dinlenik	yazi	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnStart	Start
ana-kaydedici	dinlenik	yazi	4.57	#B026FF	#000000	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnStop	Stop
