ekran	durum	tur	oran	zemin	on	yol	metin
ana-kaydedici	edilgen	yazi	3.73	#15161A	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnTrimIdle	Trim Idle Parts
ana-kucult	edilgen	simge	3.75	#141619	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path#GlyphRestart @Button#Restart	GlyphRestart
ana-kucult	pointerover	yazi	3.75	#2A112C	#B026FF	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnRetryStop	Leave It as Is
ana-kaydedici	edilgen	yazi	3.75	#121618	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnReplay	Start Buffer
ana-kaydedici	edilgen	yazi	3.75	#121618	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnPause	Pause
ana-kaydedici	edilgen	yazi	3.75	#141619	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnToMp4	Save as MP4
ana-ayarlar	edilgen	yazi	3.76	#141619	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnResetOutputName	Default
ana-kucult	edilgen	simge	3.77	#131618	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path#GlyphPlayPause @Button#PlayPause	GlyphPlayPause
ana-kaydedici	edilgen	yazi	3.78	#121518	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnCountdownCancel	Cancel
ana-kaydedici	edilgen	yazi	3.78	#141518	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnWindowRefresh	Refresh
ana-kaydedici	edilgen	yazi	3.78	#141518	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnBrowse	Browse…
ana-kucult	edilgen	yazi	3.79	#141518	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnShareCopy	Copy
ana-donustur	edilgen	yazi	3.79	#141418	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @ScrollViewer#PageConvert	Browse Source
ana-kaydedici	edilgen	yazi	3.79	#141518	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnAudioRefresh	Refresh the List
ana-gelismis	edilgen	simge	3.79	#141518	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > Path#GlyphPerformance @Button#BtnPerformanceExpand	GlyphPerformance
ana-kaydedici	edilgen	yazi	3.80	#121517	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnReplaySave	Save Last 30 s
ana-kaydedici	edilgen	yazi	3.80	#121517	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnResume	Resume
ana-oynatici	edilgen	yazi	3.81	#0A1613	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabControl#Tabs	Convert
ana-kucult	edilgen	yazi	3.81	#141418	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnShare	Share the File
ana-kucult	edilgen	yazi	3.81	#0A1613	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabControl#Tabs	Convert
ana-donustur	edilgen	yazi	3.81	#0A1613	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabControl#Tabs	Convert
ana-kaydedici	edilgen	yazi	3.81	#121417	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnSnapshot	Snapshot
ana-kaydedici	edilgen	yazi	3.81	#131417	#71717A	CheckBox#ChkCursor > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkCursor	Show the mouse cursor
ana-kaydedici	edilgen	yazi	3.81	#131417	#71717A	CheckBox#ChkOpenFolder > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkOpenFolder	Open the folder when recording ends
ana-kaydedici	edilgen	yazi	3.81	#131417	#71717A	CheckBox#ChkNoiseSuppression > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkNoiseSuppression	Noise Suppression
ana-kaydedici	edilgen	yazi	3.81	#0A1613	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabControl#Tabs	Convert
ana-gelismis	edilgen	yazi	3.81	#0A1613	#71717A	Panel > StackPanel > ContentPresenter#PART_ContentPresenter > TextBlock @TabControl#Tabs	Convert
ana-ayarlar	edilgen	yazi	3.81	#121417	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnBrowseFfmpegPath	Browse…
ana-ayarlar	edilgen	yazi	3.81	#131417	#71717A	CheckBox#ChkShellMenuOpen > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkShellMenuOpen	Open this video with VidShrink
ana-ayarlar	edilgen	yazi	3.81	#131417	#71717A	CheckBox#ChkShellMenuShrink > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkShellMenuShrink	Shrink with VidShrink
