saq	parlak/hevc/2000	1500	2.4740	1.0133
saq	parlak/hevc/2000	1530	2.4924	1.0209
saq	karanlik/av1/1000	980	1.1558	0.9469
saq	karanlik/av1/1000	1010	1.1587	0.9492
saq	karanlik/av1/1000	1030	1.1730	0.9609
saq	karanlik/av1/1000	1040	1.1741	0.9618
saq	karanlik/av1/1000	1045	1.1741	0.9618
saq	karanlik/av1/1000	1050	1.3063	1.0701
saq	karanlik/av1/1000	1060	1.3073	1.0709
saq	karanlik/av1/1000	1080	1.3147	1.0770
saq	karanlik/av1/1000	1100	1.3241	1.0847
taq	parlak/hevc/1000	600	1.0579	0.8666
taq	parlak/hevc/1000	620	1.0666	0.8738
taq	parlak/hevc/1000	640	1.0789	0.8839
taq	parlak/hevc/1000	650	1.0799	0.8847
taq	parlak/hevc/1000	656	1.0799	0.8847
taq	parlak/hevc/1000	657	1.2317	1.0090
taq	parlak/hevc/1000	660	1.2338	1.0107
taq	parlak/hevc/1000	670	1.2398	1.0157
taq	parlak/hevc/1000	685	1.2534	1.0268
taq	parlak/hevc/1000	700	1.2537	1.0271
taq	parlak/hevc/2000	1400	2.2968	0.9408
taq	parlak/hevc/2000	1430	2.3187	0.9497
taq	parlak/hevc/2000	1450	2.3354	0.9566
taq	parlak/hevc/2000	1465	2.3518	0.9633
taq	parlak/hevc/2000	1470	2.3518	0.9633
taq	parlak/hevc/2000	1475	2.4657	1.0099
taq	parlak/hevc/2000	1485	2.4697	1.0116
taq	parlak/hevc/2000	1500	2.4740	1.0133
taq	parlak/hevc/2000	1530	2.4924	1.0209
taq	karanlik/av1/1000	980	1.1558	0.9469
taq	karanlik/av1/1000	1010	1.1587	0.9492
taq	karanlik/av1/1000	1030	1.1730	0.9609
taq	karanlik/av1/1000	1040	1.1741	0.9618
taq	karanlik/av1/1000	1045	1.1741	0.9618
taq	karanlik/av1/1000	1050	1.3063	1.0701
taq	karanlik/av1/1000	1060	1.3073	1.0709
taq	karanlik/av1/1000	1080	1.3147	1.0770
taq	karanlik/av1/1000	1100	1.3241	1.0847
qres	parlak/hevc/1000	600	1.0457	0.8566
qres	parlak/hevc/1000	620	1.0518	0.8616
qres	parlak/hevc/1000	640	1.0579	0.8666
qres	parlak/hevc/1000	650	1.0680	0.8749
qres	parlak/hevc/1000	656	1.0680	0.8749
qres	parlak/hevc/1000	657	1.2123	0.9931
qres	parlak/hevc/1000	660	1.2144	0.9949
qres	parlak/hevc/1000	670	1.2425	1.0179
qres	parlak/hevc/1000	685	1.2434	1.0186
qres	parlak/hevc/1000	700	1.2454	1.0202
qres	parlak/hevc/2000	1400	2.2909	0.9384
qres	parlak/hevc/2000	1430	2.3137	0.9477
qres	parlak/hevc/2000	1450	2.3461	0.9610
qres	parlak/hevc/2000	1465	2.3511	0.9630
qres	parlak/hevc/2000	1470	2.3511	0.9630
qres	parlak/hevc/2000	1475	2.4560	1.0060
qres	parlak/hevc/2000	1485	2.4744	1.0135
qres	parlak/hevc/2000	1500	2.4781	1.0150
qres	parlak/hevc/2000	1530	2.4984	1.0233
qres	karanlik/av1/1000	980	1.1489	0.9412
qres	karanlik/av1/1000	1010	1.1558	0.9468
