kaynak,g_sn,g_kare,kmin_kare,bitrate_k,boyut_bayt,ikare,gerc_aralik_sn,kare,mean,p10,worst
s1-kesikli,2,60,30,1864,4315205,10,2.000,600,81.511,65.163,54.311
s1-kesikli,5,150,30,1864,4453686,4,5.000,600,81.986,64.495,44.723
s1-kesikli,10,300,30,1864,4575984,2,10.000,600,82.404,65.792,54.172
s1-kesikli,15,450,30,1864,4811808,2,15.000,600,82.036,65.407,52.454
s1-kesikli,20,600,30,1864,4609524,1,0.000,600,82.423,65.508,55.393
